Project,Year,Domain
Secure and Efficient Data Transmission for Cluster-based Wireless Sensor Networks ,2014,Networking
Secure Continuous Aggregation in Wireless Sensor Networks ,2014,Networking
Secure Data Retrieval for Decentralized Disruption-Tolerant Military Networks ,2014,Networking
Cost-Effective Resource Allocation of Overlay Routing Relay Nodes ,2014,Networking
Securing Broker Less Publish Subscribe Systems Using Identity-Based Encryption ,2014,Networking
Automatic Test Packet Generation ,2014,Networking
A System for Denial-of-Service Attack Detection Based on Multivar iate Correlation Analysis ,2014,Networking
Trajectory Improves Data Delivery in Urban Vehicular Networks MANET,2014,Networking
Hop-by-Hop Message Authentication and Source Privacy in Wireless Sensor Networks ,2014,Networking
Congestion Aware Routing in Nonlinear Elastic Optical Networks,2014,Networking
Energy Efficient Reliable Routing Considering Residual Energy in Wireless Ad Hoc Networks MANET,2014,Networking
PROFILR : Toward Preserving Privacy and Functionality in Geosocial Networks ,2014,Networking
Network Coding Aware Cooperative MAC Protocol for Wireless ,2014,Networking
Efficient and Privacy Aware Data Aggregation in Mobile Sensing ,2014,Networking
Bandwidth Distributed Denial of Service  Attacks and Defense,2014,Networking
Behavioral Malware Detection in Delay Tolerant Networks,2014,Networking
Privacy-Preserving And Truthful Detection Of Packet Dropping Attacks,2014,Networking
Tradeoff Between Reliability And Security In Multiple Access Relay Networks,2014,Networking
Optimal Distributed Malware Defense in Mobile Networks with Heterogeneous Devices,2014,Networking
An Error Minimizing Framework for Localizing Jammers in Wireless Sensor Networks,2014,Networking
A Tag Encoding Scheme against Pollution Attack to Linear Network Coding,2014,Networking
A Probabilistic Misbehavior Detection Scheme toward Efficient Trust Establishment in Delay-Tolerant Networks,2014,Networking
Behavioral Malware Detection in Delay Tolerant Networks,2014,Networking
Secure Deduplication with Efficient and Reliable Convergent Key Management,2014,Networking
Building a Scalable System for Stealthy P2P-Botnet Detection,2014,Networking
Bandwidth Distributed Denial of Service: Attacks and Defenses,2014,Networking
E-MACs: Toward More Secure and More Efficient Constructions of Secure Channels.,2014,Networking
Optimal Multicast Capacity and Delay Tradeoffs in MANETs,2014,Networking
STARS: A Statistical Traffic Pattern Discovery System for MANETs,2014,Networking
VSPN: VANET-Based Secure and Privacy-Preserving Navigation,2014,Networking
Efficient Data Query in Intermittently-Connected Mobile Ad Hoc Social Networks,2014,Networking
AASR: An Authenticated Anonymous Secure Routing Protocol for MANETs in Adversarial Environment,2014,Networking
PSR: A Lightweight Proactive Source Routing Protocol For Mobile Ad Hoc Networks,2014,Networking
Defending Against Collaborative Attacks by Malicious Nodes in MANETs: A Cooperative Bait Detection Approach,2014,Networking
Message Authentication Using Proxy Vehicles in Vehicular Ad Hoc Networks,2014,Networking
Optimized Multicast Routing Algorithm Based on Tree Structure in MANETs,2014,Networking
A Survey of Intrusion Detection Systems in Wireless Sensor Networks,2014,Networking
QoS Aware Geographic Opportunistic Routing in Wireless Sensor Networks,2014,Networking
Link Quality Aware Code Dissemination in Wireless Sensor Networks,2014,Networking
ALBAR Load-Balancing Geographic Routing Around Connectivity Holes in Wireless Sensor Networks,2014,Networking
Snapshot and Continuous Data Collection in Probabilistic Wireless Sensor Networks.,2014,Networking
Data Density Correlation Degree Clustering Method for Data Aggregation in WSN,2014,Networking
An Energy-Balanced Routing Method Based on Forward-Aware Factor for Wireless Sensor Networks,2014,Networking
Constructing Load-Balanced Data Aggregation Trees in Probabilistic Wireless Sensor Networks,2014,Networking
A Probabilistic Misbehavior Detection Scheme toward Efficient Trust Establishment in Delay-Tolerant Networks,2014,Networking
Cooperation Versus Multiplexing: Multicast Scheduling Algorithms for OFDMA Relay Networks,2014,Networking
HALO: Hop-by-Hop Adaptive Link-State Optimal Routing,2014,Networking
A Two stage Deanonymization Attack Against Anonymized Social Networks,2014,Networking
Cross-Layer Design of Congestion Control and Power Control in Fast-Fading Wireless Networks,2014,Networking
LocaWard: A Security and Privacy Aware Location-Based Rewarding System,2014,Networking
Power Cost Reduction in Distributed Data Centers: A Two-Time-Scale Approach for Delay Tolerant Workloads,2014,Networking
 Consistency as a Service Auditing Cloud Consistency ,2014,Networking
 Content Caching and Scheduling in Wireless Networks With Elastic and Inelastic Traffic ,2014,Networking
 Secure Data Retrieval for Decentralized Disruption-Tolerant Military Networks ,2014,Networking
 Power Cost Reduction in Distributed Data Centers: A Two-Time-Scale Approach for Delay Tolerant Workloads ,2014,Networking
 Securing Broker-Less Publish/Subscribe Systems Using Identity-Based Encryption ,2014,Networking
 An Overlay-Based Data Mining Architecture Tolerant to Physical Network Disruptions,2014,Networking
 Personalized Recommendation Combining User Interest and Social Circle,2014,Networking
 Retransmission Delays With Bounded Packets: Power-Law Body and Exponential Tail,2014,Networking
 Streaming Solutions for Fine-Grained Network Traffic Measurements and Analysis,2014,Networking
Secure data aggregation technique for wireless sensor network in the presence of collusion attacks,2014,Networking
Secure data aggregation in wireless sensor networks: filtering out the attackers impact,2014,Networking
Cooperative caching for efficient data access in disruption tolerant networks,2014,Networking
Dynamic trust management for delay tolerant networks and its application to secure routing,2014,Networking
An energy balanced routing method based on forward-aware factor for wsns,2014,Networking
Automatic test packet generation,2014,Networking
Randomized multipath routing in wsns,2014,Networking
Using identity and trust based management for MANET,2014,Networking
Dealing With Concept Drifts in Process Mining ,2014,Neural Networks
Multi-Core Embedded Wireless Sensor Networks Architecture and Applications ,2014,Parallel and Distributed Systems
Cross-Layer Approach for Minimizing Routing Disruption in IP Networks ,2014,Parallel and Distributed Systems
Multicast Capacity in MANET with Infrastructure Support ,2014,Parallel and Distributed Systems
Efficient Data Collection for Large-Scale Mobile Monitoring Applications ,2014,Parallel and Distributed Systems
Distributed Mobile Sink Routing for Wireless Sensor Networks A Survey ,2014,Parallel and Distributed Systems
The Design and Evaluation of An Information Sharing System for Human Networks ,2014,Parallel and Distributed Systems
Web Service Recommendation via Exploiting Location and QoS Information ,2014,Parallel and Distributed Systems
ITA Innocuous Topology Awareness ,2014,Parallel and Distributed Systems
"Cloning, Resource Exchange, and Relation Adaptation: An Integrative Self-Organization Mechanism in a Distributed Agent Network. ",2014,Parallel and Distributed Systems
A Scalable Two-Phase Top-Down Specialization Approach for Data Anonymization Using Map Reduce on Cloud ,2014,Parallel and Distributed Systems
The Design and Evaluation of An Information Sharing System for Human Networks ,2014,Parallel and Distributed Systems
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing. ,2014,Parallel and Distributed Systems
Exploiting Service Similarity for Privacy in Location-Based Search Queries. ,2014,Parallel and Distributed Systems
SOS: A Distributed Mobile Q&A System Based on Social Networks ,2014,Parallel and Distributed Systems
Traffic Pattern-Based Content Leakage Detection for Trusted Content Delivery Networks ,2014,Parallel and Distributed Systems
"Balancing Performance, Accuracy, and Precision for Secure Cloud Transactions ",2014,Parallel and Distributed Systems
Enabling Trustworthy Service Evaluation in Service-Oriented Mobile Social Networks ,2014,Parallel and Distributed Systems
An Error-Minimizing Framework for Localizing Jammers in Wireless Networks ,2014,Parallel and Distributed Systems
On the Security of Trustee-Based Social Authentications ,2014,Parallel and Distributed Systems
Towards Differential Query Services in Cost-Efficient Clouds ,2014,Parallel and Distributed Systems
LocaWard: A Security and Privacy Aware Location-Based Rewarding System,2014,Parallel and Distributed Systems
On False Data-Injection Attacks against Power System State Estimation: Modeling and Countermeasures,2014,Parallel and Distributed Systems
Certificateless Remote Anonymous Authentication Schemes for Wireless Body Area Networks,2014,Parallel and Distributed Systems
Secure Deduplication with Efficient and Reliable Convergent Key Management,2014,Parallel and Distributed Systems
 Key Aggregate Cryptosystem For Scalable Data Sharing In Cloud Storage ,2014,Parallel and Distributed Systems
 A System for Denial-of-Service Attack Detection Based on Multivariate Correlation Analysis ,2014,Parallel and Distributed Systems
 Decentralized Access Control with Anonymous Authentication of Data Stored in Clouds ,2014,Parallel and Distributed Systems
" Distributed, Concurrent, and Independent Access to Encrypted Cloud Databases ",2014,Parallel and Distributed Systems
 Enabling Data Integrity Protection in Regenerating-Coding-Based Cloud Storage Theory and Implementation ,2014,Parallel and Distributed Systems
 Scalable Distributed Service Integrity Attestation for Software-as-a-Service Clouds ,2014,Parallel and Distributed Systems
" Balancing Performance, Accuracy, and Precision for Secure Cloud Transactions ",2014,Parallel and Distributed Systems
 An Error-Minimizing Framework for Localizing Jammers in Wireless Networks ,2014,Parallel and Distributed Systems
 Efficient Data Query in Intermittently-Connected Mobile Ad Hoc Social Networks ,2014,Parallel and Distributed Systems
 Web Image Re-Ranking Using Query-Specific Semantic Signatures ,2014,Image Processing
Uncontrollable/controllable Converters,2014,Power Electronics
Various PWM Techniques (PWM/SPWM/SVPWM/DPWM/GDPWM),2014,Power Electronics
Multilevel Inverters,2014,Power Electronics
"Harmonics, Active/Passive Filters",2014,Power Electronics
DC to DC converters(Buck/Buck Boost/Cuk/Sepic),2014,Power Electronics
Fuzzy/Neural Networks,2014,Power Electronics
Transmission/Distribution/Protection,2014,Power Electronics
HVAC/HVDC,2014,Power Electronics
Concepts of Facts(UPFC/SSSC/Statcom/UPQC/TCSC),2014,Power Electronics
Modeling of Facts Devices in Simulink/Matlab,2014,Power Electronics
Distributed Generation,2014,Power Electronics
Non-Conventional Energy Sources,2014,Power Electronics
Fuzzy/Neural Networks,2014,Power Electronics
An Effective Control Method for Quasi-Z-Source Cascade Multilevel Inverter-Based Grid-Tie Single-Phase Photovoltaic Power System ,2014,Power Electronics
An adjustable-speed PFC bridgeless Buck-Boost ,2014,Power Electronics
Dual Buck half bridge Voltage Balancer  ,2014,Power Electronics
Modeling and Simulation of a Distribution STATCOM (D-STATCOM) for Power Quality Problems-Voltage Sag and Swell Based on Sinusoidal Pulse Width Modulation (SPWM)  ,2014,Power Electronics
Modeling and analysis of canal type small hydro power plant and performance enhancement using PID controller,2014,Power Electronics
Flexible Power Electronic Transformer ,2014,Power Electronics
Generalized UPQC system with an improved Control Method under Distorted and Unbalanced Load Conditions,2014,Power Electronics
Control of grid interfacing inverters with integrated voltage unbalance correction,2014,Power Electronics
POWER-MANAGEMENT STRATEGIES FOR A GRID-CONNECTED PV-FC HYBRID SYSTEM ,2014,Power Electronics
Privacy-Enhanced Web Service Composition ,2014,Services Computing
A Social Compute Cloud Allocating and Sharing Infrastructure Resources via Social Networks ,2014,Services Computing
 Identity-Based Distributed Provable Data Possession in Multi-Cloud Storage ,2014,Services Computing
 Panda Public Auditing for Shared Data with Efficient User Revocation in the Cloud ,2014,Services Computing
Joint Topology-Transparent Scheduling and QoS Routing in Ad Hoc Networks  ,2014,Networking
Low-Power and Area-Efficient Carry Select Adder,2014,VLSI
Design of Dedicated Reversible Quantum Circuitry for Square Computation,2014,VLSI
"Razor Based Programmable Truncated Multiply and Accumulate, Energy-Reduction for Efficient Digital Signal Processing",2014,VLSI
A Decimal/Binary Multi-operand Adder Using a Fast Binary to Decimal Converter,2014,VLSI
All Optical Reversible Multiplexer Design using Mach-Zehnder Interferometer,2014,VLSI
Memory Footprint Reduction for Power-Efficient Realization of 2-D Finite Impulse Response Filters,2014,VLSI
Designing Hardware-Efficient Fixed-Point FIR Filters in an Expanding Subexpression Space,2014,VLSI
Area-Delay-Power Efficient Fixed-Point LMS Adaptive Filter With Low Adaptation-Delay,2014,VLSI
Low – Power Digital signal Processor Architecture for wireless sensor Nodes,2014,VLSI
Time-Based All-Digital Technique for Analog Built-in Self-Test,2014,VLSI
Analysis and Design of a Low – voltage Low – Power Double Tail Comparator,2014,VLSI
A new hydrid  multiplier using Dadda and Wallace method,2014,VLSI
Parallel multiplier – accumulator based on radix- 2 modified Booth algorithm by using a VLSI architecture,2014,VLSI
Fully Reused VLSI Architecture of FM0 / Manchester encodingUsing SOLS Technique for DSRC Applications,2014,VLSI
"Reverse Converter Design Via Parallel – Prefix Adders: Novel Components, Methodlogy , and Implementations",2014,VLSI
Bit – Level Optimization of Adder – Trees for Multiple Constant Multiplications for Efficient FIR Filter Implementation,2014,VLSI
Implementation of floating point MAC Using Residue Number System,2014,VLSI
4-2 Compressor Design with New XOR-XNOR Module,2014,VLSI
Realization of 2:4 reversible decoder and its application,2014,VLSI
Novel Field _Programmable Gate Array Architecture for Computing the  Eigen Value  Decomposition of  Para – Hermitian Polynomial Matrices,2014,VLSI
Data Encoding Techniques for Reducing Energy Consumption  in Network _on _chip,2014,VLSI
Low-Complexity Low-Latency Architecture for Matching of Data Encoded with Hard Systematic Error – Correcting Codes,2014,VLSI
A Synergetic Use of  Bloom Filters For Error Detection and Correction,2014,VLSI
HIGH SPEED VEDIC MULTIPLIER DESIGNSA REVIEW,2014,VLSI
High- Throughput Multi Standard Transform Core Supporting MPEG/H.264/VC-1 Using Common Sharing Distributed Arithmetic,2014,VLSI
Quaternary Logic Lookup  Table in Standard CMOS,2014,VLSI
Universal Set of CMOS Gates for the Synthesis of  Multiple Valued Logic Digital Circuits,2014,VLSI
"Fast Sign Detection Algorithm for the RNS Moduli Set {2n+1-1, 2n-1, 2n }",2014,VLSI
Hardware Efficient Mixed Radix-25/16/9 FFT for LTE Systems,2014,VLSI
VLSI Architecture Design of Guided Filter for 30 Frames/s Full-HD Video,2014,VLSI
Novel Reconfigurable Hardware Architecture for Polynomial Matrix Multiplications,2014,VLSI
A 16-Core Processor With Shared-Memory and Message-Passing Communications,2014,VLSI
32 Bit X 32 Bit  Multiprecision Razor- Based Dynamic Voltage Scaling Multiplier with Operands Scheduler,2014,VLSI
Multifunction Residue Architectures for Cryptography,2014,VLSI
Improved 8 –Point Approximate DCT for Image and Video Compression Requiring Only 14 Additions,2014,VLSI
Reliable Concurrent Error Detection Architectures for Extended Euclidean –Based Division Over $(rm GF} (2 ^{m})$,2014,VLSI
Reconfigurable CORDIC – Based Low – Power DCT Architecture Based on Data Priority,2014,VLSI
Area – Delay Efficient Binary  Adder in QCA,2014,VLSI
Low- Complexity Reconfigurable Fast Filter Bank  for Multi –Standard Wireless Recivers,2014,VLSI
Binary Division algorithm and high Speed Deconvolution algorithm (Based on Ancient Indian Vedic Mathematics),2014,VLSI
Design and Implementation of Modified Signed – Digit  Adder,2014,VLSI
A Combined SDC-SDF Architecture for Normal I/O Pipelined Radix -2 FFT,2014,VLSI
Radix-2r Arithmetic for Multiplication by a Constant,2014,VLSI
Design of a Low-Voltage Low –DropOut Regulator,2014,VLSI
Design and Analysis of Approximate Compressors for Multiplication,2014,VLSI
Reviewing High –Radix Signed  – Digit Adders,2014,VLSI
Area – Delay – Power Efficient Carry –Select Adder,2014,VLSI
Method for designing Multi-Channel RNS Architectures to prevent  Power Analysis SCA,2014,VLSI
An Optimized Modified Booth Recoder for Efficient Design of the  Add- Multiply Operator,2014,VLSI
Energy Efficient Programmable MIMO Decoder Accelerator Chip in 65-nm CMOS,2014,VLSI
Precise VLSI Architecture for AI – Based 1-D/2-D Daub -6 Wavelet Filter Bank with Low Adder – Count,2014,VLSI
A Method to Extend Orthogonal Latin Square Codes,2014,VLSI
Low – Power Programmable PRPG With Test Compression Capabilities,2014,VLSI
Efficient FPGA and ASIC Realizations of a DA-Based Reconfigurable FIR Digital Filter,2014,VLSI
Novel Square root algorithm and its FPGA Implementation,2014,VLSI
High – Throughput Turbo Decoder with Parallel Architecture for LTE Wireless Communication Standards,2014,VLSI
Fast Radix -10 Multiplication Using Redunant BCD,2014,VLSI
A parallel radix –sort –based VLSI architecture for finding the first W maximum/minimum values,2014,VLSI
Performance Analysis of the  CS-DCSK /BPSK Communication System,2014,VLSI
VLSI Design of a Large – Number  Multiplier for  Fully – Homorphic Encryption,2014,VLSI
A Hybrid Cloud Approach for Secure Authorized Deduplication,2015,.net
Collision Tolerant and Collision Free Packet Scheduling for Underwater Acoustic Localization,2015,.net
Discovery of Ranking Fraud for Mobile Apps,2015,.net
Steganography Using Reversible Texture Synthesis,2015,.net
Authenticated Key Exchange Protocols for Parallel Network File Systems,2015,.net
Provable Multicopy Dynamic Data Possession in Cloud Computing Systems,2015,.net
Secure Distributed Deduplication Systems with Improved Reliability,2015,.net
OPoR Enabling Proof of Retrievability in Cloud Computing with Resource-Constrained Devices,2015,.net
PSMPA Patient Self-Controllable and Multi-Level Privacy-Preserving Cooperative Authentication in Distributed m-Healthcare Cloud Computing System,2015,.net
Privacy-Preserving and Truthful Detection of Packet Dropping Attacks in WirelessAd Hoc Networks,2015,.net
Time-Delayed Broadcasting for Defeating Inside Jammers,2015,.net
 Mobile Data Gathering with Load Balanced Clustering and Dual DataUploading in Wireless Sensor Networks,2015,.net
IncreSTS Towards Real-Time Incremental Short Text Summarization on Comment Streams from Social Network Services,2015,.net
Lossless and Reversible Data Hiding in Encrypted Images with Public Key Cryptography,2015,.net
A Distributed Three-Hop Routing Protocol to Increase the Capacity of Hybrid Wireless Networks,2015,.net
Audit-Free Cloud Storage via Deniable Attribute-based Encryption,2015,.net
Real-Time Path Planning Based on Hybrid-VANET-Enhanced Transportation System,2015,.net
Continuous and Transparent User Identity Verification for Secure Internet Services,2015,.net
Detecting Malicious Facebook Applications,2015,.net
Real-Time Path Planning Based on Hybrid-VANET-Enhanced Transportation System,2015,.net
Co-Extracting Opinion Targets and Opinion Words from Online Reviews Based on the Word Alignment Model,2015,.net
DROPS Division and Replication of Data in Cloud for Optimal Performance and Security,2015,.net
 Detection and Rectification of Distorted Fingerprints,2015,.net
attribute based access control with based access control with constant size cipher text,2015,.net
Optimal Configuration of Network Coding in Ad Hoc Networks,2015,.net
Efficient Top-k Retrieval on Massive Data,2015,.net
A Computational Dynamic Trust Model for User Authorization,2015,.net
Data Collection in Multi-Application Sharing Wireless Sensor Networks,2015,.net
EMR A Scalable Graph-based Ranking Model for Content-based Image Retrieval,2015,.net
An Attribute-Assisted Reranking Model for Web Image Search,2015,.net
Eye Gaze Tracking With a Web Camera in a Desktop Environment,2015,.net
TEES An Efficient Search Scheme over Encrypted Data on Mobile Cloud,2015,.net
A Secure and Dynamic Multi-keyword Ranked Search Scheme over Encrypted Cloud Data,2015,.net
Automatic Face Naming by Learning Discriminative Affinity Matrices From Weakly Labeled Images,2015,.net
Head Pose Estimation From a 2D Face Image Using 3D Face Morphing With Depth Parameters,2015,.net
"Face Recognition Across NonUniform Motion Blur, Illumination, and Pose",2015,.net
Single Image Super-Resolution Based on Gradient Pro?le Sharpness,2015,.net
Friendbook A Semantic-Based Friend Recommendation System for Social Networks,2015,.net
Cloud-Based Multimedia Content Protection System,2015,.net
Best Keyword Cover Search,2015,.net
Energy-aware Load Balancing and Application Scaling for the Cloud Ecosystem,2015,.net
 Universal Network Coding-Based Opportunistic Routing for Unicast,2015,.net
Malware Propagation in Large-Scale Networks,2015,.net
BRACER A Distributed Broadcast Protocol in Multi-Hop Cognitive Radio Ad Hoc Networks,2015,.net
Fiducial Facial Point Extraction Using a Novel Projective Invariant,2015,.net
A Distortion-Resistant Routing Framework for Video Traffic in Wireless Multihop Networks,2015,.net
GDCluster,2015,.net
Effective Key Management in Dynamic Wireless Sensor Network,2015,.net
Improved Privacy-Preserving P2P Multimedia Distribution Based on Recombined Fingerprints,2015,.net
Passive IP Traceback Disclosing the Locations of IP Spoofers from Path Backscatter,2015,.net
Behavior Rule Specification-Based Intrusion Detection for Safety Critical Medical Cyber Physical Systems,2015,.net
Integrated Foreground Segmentation and Boundary Matting for Live Videos,2015,.net
Cooperative Positioning and Tracking in Disruption Tolerant Networks,2015,Android Projects
Friend book A Semantic-based Friend Recommendation System for Social Networks,2015,Android Projects
Innovative Schemes for Resource Allocation in the Cloud for Media Streaming Applications,2015,Android Projects
A Location and Diversity aware News Feed System for Mobile Users,2015,Android Projects
ALTERDROID: Differential Fault Analysis of Obfuscated Smartphone Malware,2015,Android Projects
Energy-Efficient Fault-Tolerant Data Storage and Processing in Mobile Cloud,2015,Android Projects
Privacy-Preserving Relative Location Based Services for Mobile Users,2015,Android Projects
Smartphone-Based Wound Assessment System for Patients with Diabetes,2015,Android Projects
User Privacy and Data Trustworthiness in Mobile Crowd Sensing,2015,Android Projects
User-Defined Privacy Grid System for Continuous Location-Based Services,2015,Android Projects
VULHUNTER: Toward Discovering Vulnerabilities in Android Applications,2015,Android Projects
The Impact of API Change- and Fault-Proneness on the User Ratings of Android Apps,2015,Android Projects
Time-and-Energy-Aware Computation Offloading in Handheld Devices to Coprocessors and Clouds,2015,Android Projects
Context-Based Access Control Systems for Mobile Devices,2015,Android Projects
Extend Your Journey Considering Signal Strength and Fluctuation in Location Based Applications,2015,Android Projects
CWC: A Distributed Computing Infrastructure Using Smart phones,2015,Android Projects
Identity-based Encryption with Outsourced Revocation in Cloud Computing,2015,Cloud Computing
Cloud Armor Supporting Reputation-based Trust Management for Cloud Services,2015,Cloud Computing
SAE: Toward Efficient Cloud Data Analysis Service for Large-Scale Social Networks,2015,Cloud Computing
Space-efficient Verifiable Secret Sharing Using Polynomial Interpolation,2015,Cloud Computing
Service Operator-aware Trust Scheme for Resource Matchmaking across Multiple Clouds,2015,Cloud Computing
Cost-Minimizing Dynamic Migration of Content Distribution Services into Hybrid Clouds,2015,Cloud Computing
Control Cloud Data Access Privilege and Anonymity With Fully Anonymous Attribute Based Encryption,2015,Cloud Computing
A Profit Maximization Scheme with Guaranteed Quality of Service in Cloud Computing,2015,Cloud Computing
A Secure and Dynamic Multi-keyword Ranked Search Scheme over Encrypted Cloud Data,2015,Cloud Computing
Audit Free Cloud Storage via Deniable Attribute based Encryption,2015,Cloud Computing
CHARM: A Cost-efficient Multi cloud Data Hosting Scheme with High Availability,2015,Cloud Computing
Demystifying the Clouds: Harnessing Resource Utilization Models for Cost Effective Infrastructure Alternatives,2015,Cloud Computing
Circuit Cipher text-policy Attribute-based Hybrid Encryption with Verifiable Delegation in Cloud Computing,2015,Cloud Computing
Energy-Efficient Fault-Tolerant Data Storage and Processing in Mobile Cloud,2015,Cloud Computing
"Combining Efficiency, Fidelity, and Flexibility in Resource Information Services",2015,Cloud Computing
Cost-Effective Authentic and Anonymous Data Sharing with Forward Security,2015,Cloud Computing
Enabling Cloud Storage Auditing with Key Exposure Resistance,2015,Cloud Computing
Energy-aware Load Balancing and Application Scaling for the Cloud Ecosystem,2015,Cloud Computing
Key-Aggregate Searchable Encryption (KASE) for Group Data Sharing via Cloud Storage,2015,Cloud Computing
OPoR: Enabling Proof of Retrievability in Cloud Computing with Resource-Constrained Devices,2015,Cloud Computing
Privacy Preserving Public Auditing for Regenerating Code Based Cloud Storage,2015,Cloud Computing
Panda: Public Auditing for Shared Data with Efficient User Revocation in the Cloud,2015,Cloud Computing
Provable Multi copy Dynamic Data Possession in Cloud Computing Systems,2015,Cloud Computing
Public Integrity Auditing for Shared Dynamic Cloud Data with Group User Revocation,2015,Cloud Computing
Reactive Resource Provisioning Heuristics for Dynamic Data flows on Cloud Infrastructure,2015,Cloud Computing
Shared Authority Based Privacy-preserving Authentication Protocol in Cloud Computing,2015,Cloud Computing
Reducing Fragmentation for In-line De duplication Backup Storage via Exploiting Backup History and Cache Knowledge,2015,Cloud Computing
Secure Auditing and De duplicating Data in Cloud,2015,Cloud Computing
Secure Distributed De duplication Systems with Improved Reliability,2015,Cloud Computing
Public Integrity Auditing for Dynamic Data Sharing with Multi User Modification,2015,Cloud Computing
A Scalable and Reliable Matching Service for Content-Based Publish/Subscribe Systems,2015,Cloud Computing
Cloud-Trust a Security Assessment Model for Infrastructure as a Service (IaaS) Clouds,2015,Cloud Computing
Cloud-Based Multimedia Content Protection System,2015,Cloud Computing
A secure data self-destructing scheme in cloud computing,2015,Cloud Computing
Identity-Based Distributed Provable Data Possession in Multi-Cloud Storage,2015,Cloud Computing
A Hybrid Cloud Approach for Secure Authorized De duplication,2015,Cloud Computing
Stealthy Denial of Service Strategy in Cloud Computing,2015,Cloud Computing
A Secure Anti-Collusion Data Sharing Scheme for Dynamic Groups in the Cloud,2015,Cloud Computing
An Authenticated Trust and Reputation Calculation and Management System for Cloud and Sensor Networks Integration,2015,Cloud Computing
Enabling Fine-grained Multi-keyword Search Supporting Classified Sub-dictionaries over Encrypted Cloud Data,2015,Cloud Computing
Privacy Preserving Ranked Multi-Keyword Search for Multiple Data Owners in Cloud Computing,2015,Cloud Computing
SelCSP: A Framework to Facilitate Selection of Cloud Service Providers,2015,Cloud Computing
Guest Editorial: Recommendation Techniques for Services Computing and Cloud Computing,2015,Cloud Computing
PSMPA: Patient Self-Controllable and Multi-Level Privacy Preserving Cooperative Authentication in Distributed m- Healthcare Cloud Computing System,2015,Cloud Computing
MobiContext: A Context-aware Cloud-Based Venue Recommendation Framework,2015,Cloud Computing
Innovative Schemes for Resource Allocation in the Cloud for Media Streaming Applications,2015,Cloud Computing
A Secure and Dynamic Multi-keyword Ranked Search Scheme over Encrypted Cloud Data,2015,Cloud Computing
Enabling Fine grained Multi keyword Search Supporting Classified Sub dictionaries over Encrypted Cloud Computing,2015,Cloud Computing
A Time Efficient Approach for Detecting Errors in Big Sensor Data on Cloud,2015,Cloud Computing
On the Security of Data Access Control for Multi Authority cloud storage systems,2015,Cloud Computing
Towards Effective Bug Triage with Software Data Reduction Techniques,2015,Data Mining
Active Learning for Ranking through Expected Loss Optimization,2015,Data Mining
Discovery of Ranking Fraud for Mobile Apps,2015,Data Mining
k-Nearest Neighbor Classification over Semantically Secure Encrypted Relational Data,2015,Data Mining
"Entity Linking with a Knowledge Base: Issues, Techniques, and Solutions",2015,Data Mining
PAGE: A Partition Aware Engine for Parallel Graph Computation,2015,Data Mining
Query Aware Determinization of Uncertain Objects,2015,Data Mining
RRW – A Robust and Reversible Watermarking Technique for Relational Data,2015,Data Mining
Rule-Based Method for Entity Resolution,2015,Data Mining
Secure Distributed De duplication Systems with Improved Reliability,2015,Data Mining
Smart Crawler: A Two-stage Crawler for Efficiently Harvesting Deep-Web Interfaces,2015,Data Mining
Best Keyword Cover Search,2015,Data Mining
Co-Extracting Opinion Targets and Opinion Words from Online Reviews Based on the Word Alignment Model,2015,Data Mining
Context-Based Diversification for Keyword Queries over XML Data,2015,Data Mining
Malware Propagation in Large-Scale Networks,2015,Data Mining
On Summarization and Timeline Generation for Evolutionary Tweet Streams,2015,Data Mining
Privacy Policy Inference of User-Uploaded Images on Content Sharing Sites,2015,Data Mining
Reverse Nearest Neighbors in Unsupervised Distance-Based Outlier Detection,2015,Data Mining
Route-Saver: Leveraging Route APIs for Accurate and Efficient Query Processing at Location-Based Services,2015,Data Mining
Scalable Constrained Spectral Clustering,2015,Data Mining
Tweet Segmentation and Its Application to Named Entity Recognition,2015,Data Mining
Tracking Temporal Community Strength in Dynamic Networks,2015,Data Mining
Anonymizing Collections of Tree-Structured Data,2015,Data Mining
Making Digital Artifacts on the Web Verifiable and Reliable,2015,Data Mining
Privacy Policy Inference of User Uploaded Images on Content Sharing Sites,2015,Data Mining
Structured Learning from Heterogeneous Behavior for Social Identity Linkage,2015,Data Mining
Sub graph Matching with Set Similarity in a Large Graph Database,2015,Data Mining
Tweet Segmentation and Its Application to Named Entity Recognition,2015,Data Mining
Learning to Rank Image Tags with Limited Training Examples,2015,Image Processing
An Attribute assisted Re ranking Model for Web Image Search,2015,Image Processing
EMR: A Scalable Graph-based Ranking Model for Content-based Image Retrieval,2015,Image Processing
Steganography Using Reversible Texture Synthesis,2015,Image Processing
Query Aware Determinization of Uncertain Objects,2015,Image Processing
Detection and Rectification of Distorted Fingerprints,2015,Image Processing
Learning Fingerprint Reconstruction: From Minutiae to Image,2015,Image Processing
Multi view Alignment Hashing for Efficient Image Search,2015,Image Processing
Automatic Face Naming by Learning Discriminative Affinity Matrices From Weakly Labeled Images,2015,Image Processing
EMD based Temporal and Spectral Features for the Classification of EEG Signals Using Supervised Learning ,2015,Image Processing
Low-Complexity SIC Detection Algorithms for Multiple-Input Multiple-Output Systems,2015,Image Processing
Counting and Classification of Highway Vehicles by Regression Analysis ,2015,Image Processing
